Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
<<<<<<< HEAD
Logistic Regression,Train set,128209,62978,56596,8427,208,0.8819830544079547,0.9967081315481278,0.8703997047198684,0.9358426640711489,0.9326490339991732,0.933553918133998,0.9531765333883384
Logistic Regression,Validation(CV),128209,62995,56568,8455,191,0.8819978815280919,0.9967081320457488,0.870415140947966,0.935850304927911,0.932656834294772,0.9335616364968576,0.9526409006413556
Logistic Regression,Test set,17678,15762,2,1857,57,0.8946024178443726,0.9963967380997535,0.0010758472296933835,0.9427597344338776,0.8917298336915941,0.4987362926647234,0.6146914253670005
Logistic Regression,Entire population,145887,78740,56598,10284,265,0.884480589503954,0.9966457819125372,0.8462366556024042,0.9372191705003303,0.9276906098555732,0.9214412187574708,0.9437595402997926
=======
Logistic Regression,Train set,112151,55118,49561,7287,185,0.8832305103757712,0.9966547926875576,0.871816070925978,0.9365208821830292,0.9333755383367067,0.9342354318067678,0.954023940412626
Logistic Regression,Validation(CV),112151,55149,49544,7304,154,0.8832165088011976,0.9967090242454593,0.871780778680906,0.9365346604636937,0.9333844257675288,0.9342449014631825,0.9534035573305376
Logistic Regression,Test set,26517,23619,4,2811,83,0.8936435868331442,0.9964981858071049,0.0014209591474245115,0.942272400861725,0.8908624655881133,0.4989595724772647,0.6206438350189812
Logistic Regression,Entire population,138668,78737,49565,10098,268,0.8863285867056904,0.9966078096323018,0.8307493756599568,0.9382387988560534,0.9252459110970087,0.9136785926461293,0.9382890209738598
>>>>>>> 59b66705 (no message)
